id,capaNo,productName,issueType,severity,rootCause,department,productionLine,lotNo,claimSource,assignee,dueDate,status,createdAt,completedAt
29,CAPA-2025-0029,샴푸 B,기타,중,작업자실수,품질보증팀,C라인,LOT-20250727-762,자체검사,윤서아,2025-08-13,done,2025-07-27,2025-08-12
30,CAPA-2025-0030,핸드크림 B,기타,하,협력사,구매팀,A라인,LOT-20250727-566,정부기관,박서준,2025-08-15,done,2025-07-27,2025-08-08
31,CAPA-2025-0031,세럼 A,원료불량,중,표준서미비,생산2팀,C라인,LOT-20250728-120,고객사,오도윤,2025-08-22,done,2025-07-28,2025-08-29
32,CAPA-2025-0032,토너 A,포장불량,중,기타,물류팀,D라인,LOT-20250729-961,고객사,이수민,2025-08-26,done,2025-07-29,2025-08-31
33,CAPA-2025-0033,샴푸 B,기타,하,작업자실수,물류팀,B라인,LOT-20250729-832,고객사,배주안,2025-08-10,done,2025-07-29,2025-08-09
34,CAPA-2025-0034,세럼 B,고객불만,중,작업자실수,구매팀,B라인,LOT-20250731-025,자체검사,신예은,2025-08-10,done,2025-07-31,2025-08-01
35,CAPA-2025-0035,클렌징폼 B,고객불만,하,원자재,품질보증팀,A라인,LOT-20250801-516,자체검사,김지현,2025-08-19,done,2025-08-01,2025-08-17
36,CAPA-2025-0036,립스틱 A,포장불량,중,설비,물류팀,A라인,LOT-20250802-179,고객사,김지현,2025-08-27,done,2025-08-02,2025-08-24
37,CAPA-2025-0037,수분크림 B,기타,중,작업자실수,구매팀,C라인,LOT-20250802-838,내부감사,문서현,2025-08-27,done,2025-08-02,2025-08-19
38,CAPA-2025-0038,샴푸 B,원료불량,하,기타,생산2팀,D라인,LOT-20250804-255,고객사,문서현,2025-08-19,done,2025-08-04,2025-08-14
39,CAPA-2025-0039,미스트 B,기타,하,설비,구매팀,A라인,LOT-20250804-256,내부감사,박서준,2025-08-17,done,2025-08-04,2025-08-22
40,CAPA-2025-0040,선스틱 A,공정이탈,중,기타,물류팀,B라인,LOT-20250805-988,정부기관,윤서아,2025-08-28,done,2025-08-05,2025-08-28
41,CAPA-2025-0041,세럼 B,고객불만,하,원자재,생산2팀,C라인,LOT-20250806-367,자체검사,강민준,2025-08-25,done,2025-08-06,2025-08-29
42,CAPA-2025-0042,세럼 A,포장불량,중,설비,생산2팀,D라인,LOT-20250807-102,고객사,강민준,2025-08-31,done,2025-08-07,2025-08-26
43,CAPA-2025-0043,마스크팩 A,고객불만,중,설비,생산2팀,C라인,LOT-20250807-047,고객사,오도윤,2025-09-05,done,2025-08-07,2025-09-04
44,CAPA-2025-0044,세럼 A,포장불량,중,기타,생산2팀,D라인,LOT-20250807-444,고객사,윤서아,2025-08-21,done,2025-08-07,2025-08-20
45,CAPA-2025-0045,마스크팩 A,포장불량,중,협력사,구매팀,C라인,LOT-20250808-178,고객사,윤서아,2025-09-04,done,2025-08-08,2025-09-16
46,CAPA-2025-0046,블러셔 B,포장불량,상,설비,생산2팀,D라인,LOT-20250808-309,고객사,배주안,2025-08-29,done,2025-08-08,2025-09-01
47,CAPA-2025-0047,수분크림 A,원료불량,하,원자재,품질보증팀,A라인,LOT-20250809-081,고객사,신예은,2025-09-04,done,2025-08-09,2025-09-17
48,CAPA-2025-0048,아이크림 A,고객불만,중,작업자실수,품질보증팀,D라인,LOT-20250811-530,자체검사,신예은,2025-08-29,done,2025-08-11,2025-08-20
49,CAPA-2025-0049,선크림 B,원료불량,중,표준서미비,구매팀,B라인,LOT-20250812-529,고객사,조현우,2025-09-05,done,2025-08-12,2025-08-31
50,CAPA-2025-0050,세럼 B,고객불만,중,기타,물류팀,D라인,LOT-20250813-223,고객사,조현우,2025-08-27,done,2025-08-13,2025-08-23
51,CAPA-2025-0051,파운데이션 B,공정이탈,중,협력사,생산2팀,A라인,LOT-20250813-214,고객사,오도윤,2025-08-23,done,2025-08-13,2025-08-30
52,CAPA-2025-0052,아이크림 A,고객불만,중,원자재,생산2팀,C라인,LOT-20250814-015,고객사,정하늘,2025-08-26,done,2025-08-14,2025-09-04
53,CAPA-2025-0053,립스틱 A,공정이탈,하,협력사,생산1팀,B라인,LOT-20250815-086,내부감사,한소율,2025-09-04,done,2025-08-15,2025-09-17
54,CAPA-2025-0054,파운데이션 A,공정이탈,하,설비,구매팀,D라인,LOT-20250815-824,고객사,임지호,2025-08-30,done,2025-08-15,2025-08-22
55,CAPA-2025-0055,아이섀도 B,원료불량,상,표준서미비,구매팀,B라인,LOT-20250815-249,자체검사,정하늘,2025-09-06,done,2025-08-15,2025-08-29
56,CAPA-2025-0056,아이섀도 A,포장불량,중,기타,물류팀,C라인,LOT-20250815-190,고객사,이수민,2025-09-14,done,2025-08-15,2025-09-12
57,CAPA-2025-0057,파운데이션 A,고객불만,하,작업자실수,생산2팀,C라인,LOT-20250815-173,고객사,문서현,2025-08-25,done,2025-08-15,2025-08-20
58,CAPA-2025-0058,샴푸 B,고객불만,하,작업자실수,품질보증팀,A라인,LOT-20250815-184,내부감사,조현우,2025-09-06,done,2025-08-15,2025-09-04
59,CAPA-2025-0059,샴푸 A,고객불만,하,설비,품질보증팀,C라인,LOT-20250817-492,자체검사,이수민,2025-09-11,done,2025-08-17,2025-09-07
60,CAPA-2025-0060,샴푸 B,고객불만,상,협력사,생산1팀,C라인,LOT-20250818-554,고객사,조현우,2025-09-12,done,2025-08-18,2025-09-08
61,CAPA-2025-0061,핸드크림 B,공정이탈,중,원자재,생산2팀,C라인,LOT-20250818-679,자체검사,조현우,2025-09-13,done,2025-08-18,2025-09-15
62,CAPA-2025-0062,샴푸 B,포장불량,중,설비,구매팀,D라인,LOT-20250818-019,정부기관,김지현,2025-09-07,done,2025-08-18,2025-08-29
63,CAPA-2025-0063,클렌징폼 A,표시오류,하,작업자실수,생산1팀,B라인,LOT-20250819-301,고객사,강민준,2025-09-08,done,2025-08-19,2025-09-01
64,CAPA-2025-0064,바디로션 B,고객불만,하,협력사,물류팀,A라인,LOT-20250820-706,고객사,신예은,2025-09-16,done,2025-08-20,2025-09-13
65,CAPA-2025-0065,아이섀도 A,원료불량,하,원자재,생산2팀,D라인,LOT-20250820-880,자체검사,신예은,2025-09-07,done,2025-08-20,2025-09-19
66,CAPA-2025-0066,아이크림 A,기타,중,작업자실수,품질보증팀,C라인,LOT-20250821-967,정부기관,배주안,2025-09-16,done,2025-08-21,2025-09-25
67,CAPA-2025-0067,헤어에센스 B,고객불만,중,기타,물류팀,C라인,LOT-20250822-128,고객사,윤서아,2025-09-20,done,2025-08-22,2025-10-05
68,CAPA-2025-0068,쿠션 B,고객불만,하,작업자실수,물류팀,D라인,LOT-20250822-278,자체검사,한소율,2025-09-15,done,2025-08-22,2025-09-15
69,CAPA-2025-0069,바디로션 B,원료불량,중,작업자실수,생산2팀,A라인,LOT-20250822-315,정부기관,임지호,2025-09-07,done,2025-08-22,2025-09-03
70,CAPA-2025-0070,립스틱 A,원료불량,중,작업자실수,생산2팀,B라인,LOT-20250823-473,고객사,한소율,2025-09-17,done,2025-08-23,2025-09-13
71,CAPA-2025-0071,아이섀도 B,공정이탈,중,작업자실수,구매팀,B라인,LOT-20250823-901,고객사,김지현,2025-09-16,done,2025-08-23,2025-09-08
72,CAPA-2025-0072,토너 A,기타,상,설비,구매팀,A라인,LOT-20250826-484,고객사,조현우,2025-09-20,done,2025-08-26,2025-10-05
73,CAPA-2025-0073,미스트 A,고객불만,하,표준서미비,생산2팀,B라인,LOT-20250828-246,자체검사,문서현,2025-09-27,done,2025-08-28,2025-09-19
74,CAPA-2025-0074,샴푸 A,표시오류,상,협력사,구매팀,C라인,LOT-20250828-828,고객사,문서현,2025-09-08,done,2025-08-28,2025-09-04
75,CAPA-2025-0075,세럼 A,원료불량,중,작업자실수,물류팀,D라인,LOT-20250830-943,고객사,배주안,2025-09-13,done,2025-08-30,2025-09-14
76,CAPA-2025-0076,핸드크림 B,공정이탈,중,원자재,생산2팀,C라인,LOT-20250831-509,고객사,문서현,2025-09-26,done,2025-08-31,2025-09-22
77,CAPA-2025-0077,미스트 B,고객불만,중,작업자실수,품질보증팀,D라인,LOT-20250831-455,고객사,조현우,2025-09-28,done,2025-08-31,2025-10-10
78,CAPA-2025-0078,헤어에센스 B,포장불량,중,원자재,생산1팀,B라인,LOT-20250831-572,자체검사,임지호,2025-09-30,done,2025-08-31,2025-10-01
79,CAPA-2025-0079,핸드크림 B,포장불량,하,작업자실수,생산2팀,B라인,LOT-20250901-069,정부기관,정하늘,2025-09-17,done,2025-09-01,2025-09-17
80,CAPA-2025-0080,샴푸 A,공정이탈,하,원자재,품질보증팀,A라인,LOT-20250904-537,고객사,문서현,2025-09-21,done,2025-09-04,2025-09-14
81,CAPA-2025-0081,립스틱 A,포장불량,하,설비,품질보증팀,D라인,LOT-20250906-595,자체검사,배주안,2025-09-27,done,2025-09-06,2025-09-27
82,CAPA-2025-0082,립밤 A,포장불량,중,원자재,생산2팀,A라인,LOT-20250908-903,고객사,이수민,2025-10-02,done,2025-09-08,2025-09-27
83,CAPA-2025-0083,쿠션 A,고객불만,중,설비,물류팀,C라인,LOT-20250910-152,정부기관,오도윤,2025-10-01,done,2025-09-10,2025-09-29
84,CAPA-2025-0084,블러셔 A,표시오류,상,협력사,구매팀,A라인,LOT-20250910-564,내부감사,배주안,2025-10-05,done,2025-09-10,2025-09-29
85,CAPA-2025-0085,클렌징폼 B,원료불량,중,표준서미비,구매팀,A라인,LOT-20250911-731,자체검사,윤서아,2025-10-07,done,2025-09-11,2025-10-02
86,CAPA-2025-0086,헤어에센스 B,고객불만,중,협력사,구매팀,C라인,LOT-20250912-327,자체검사,한소율,2025-10-02,done,2025-09-12,2025-10-01
87,CAPA-2025-0087,바디로션 A,포장불량,중,설비,구매팀,D라인,LOT-20250912-176,고객사,김지현,2025-09-26,done,2025-09-12,2025-09-22
88,CAPA-2025-0088,아이크림 A,기타,상,협력사,품질보증팀,D라인,LOT-20250914-442,자체검사,윤서아,2025-10-01,done,2025-09-14,2025-09-23
89,CAPA-2025-0089,토너 A,원료불량,중,설비,생산1팀,D라인,LOT-20250918-416,고객사,김지현,2025-10-13,done,2025-09-18,2025-10-09
90,CAPA-2025-0090,립스틱 B,표시오류,중,기타,생산2팀,C라인,LOT-20250918-343,고객사,박서준,2025-10-06,done,2025-09-18,2025-10-05
91,CAPA-2025-0091,토너 B,원료불량,하,작업자실수,품질보증팀,B라인,LOT-20250919-467,자체검사,조현우,2025-10-19,done,2025-09-19,2025-10-28
92,CAPA-2025-0092,핸드크림 A,공정이탈,중,표준서미비,구매팀,D라인,LOT-20250922-600,고객사,최유리,2025-10-08,done,2025-09-22,2025-10-13
93,CAPA-2025-0093,토너 A,고객불만,하,설비,생산1팀,A라인,LOT-20250923-060,고객사,윤서아,2025-10-22,done,2025-09-23,2025-10-19
94,CAPA-2025-0094,선스틱 B,포장불량,중,작업자실수,생산2팀,A라인,LOT-20250923-690,자체검사,오도윤,2025-10-22,done,2025-09-23,2025-10-23
95,CAPA-2025-0095,선크림 B,포장불량,하,기타,구매팀,A라인,LOT-20250924-699,자체검사,임지호,2025-10-06,done,2025-09-24,2025-10-06
96,CAPA-2025-0096,샴푸 B,고객불만,중,기타,구매팀,C라인,LOT-20250924-323,고객사,문서현,2025-10-24,done,2025-09-24,2025-10-18
97,CAPA-2025-0097,헤어에센스 A,기타,하,협력사,품질보증팀,D라인,LOT-20250924-907,자체검사,최유리,2025-10-05,done,2025-09-24,2025-10-13
98,CAPA-2025-0098,토너 B,공정이탈,중,기타,구매팀,C라인,LOT-20250926-809,고객사,최유리,2025-10-07,done,2025-09-26,2025-10-02
99,CAPA-2025-0099,세럼 B,원료불량,하,기타,구매팀,D라인,LOT-20250927-360,고객사,박서준,2025-10-12,done,2025-09-27,2025-10-03
100,CAPA-2025-0100,바디로션 B,공정이탈,중,설비,물류팀,C라인,LOT-20250927-150,고객사,정하늘,2025-10-20,done,2025-09-27,2025-10-11
101,CAPA-2025-0101,마스크팩 B,공정이탈,중,협력사,물류팀,B라인,LOT-20250928-049,고객사,배주안,2025-10-09,done,2025-09-28,2025-10-03
102,CAPA-2025-0102,선크림 A,포장불량,하,협력사,생산1팀,B라인,LOT-20250928-435,고객사,강민준,2025-10-16,done,2025-09-28,2025-10-08
103,CAPA-2025-0103,클렌징폼 B,기타,중,협력사,구매팀,B라인,LOT-20250928-138,자체검사,윤서아,2025-10-22,done,2025-09-28,2025-10-31
104,CAPA-2025-0104,바디로션 B,고객불만,하,협력사,생산1팀,C라인,LOT-20250930-437,자체검사,강민준,2025-10-19,done,2025-09-30,2025-10-11
105,CAPA-2025-0105,파운데이션 A,공정이탈,하,기타,물류팀,D라인,LOT-20251001-929,고객사,오도윤,2025-10-27,done,2025-10-01,2025-10-21
106,CAPA-2025-0106,핸드크림 A,공정이탈,중,원자재,구매팀,B라인,LOT-20251001-184,자체검사,이수민,2025-10-21,done,2025-10-01,2025-10-24
107,CAPA-2025-0107,선크림 B,표시오류,중,원자재,품질보증팀,C라인,LOT-20251003-022,자체검사,배주안,2025-10-13,done,2025-10-03,2025-10-21
108,CAPA-2025-0108,아이크림 A,공정이탈,하,기타,품질보증팀,C라인,LOT-20251003-446,정부기관,박서준,2025-10-25,done,2025-10-03,2025-10-20
109,CAPA-2025-0109,바디로션 B,원료불량,하,작업자실수,구매팀,D라인,LOT-20251004-183,자체검사,한소율,2025-10-15,done,2025-10-04,2025-10-10
110,CAPA-2025-0110,립밤 A,공정이탈,중,원자재,생산1팀,C라인,LOT-20251005-409,고객사,조현우,2025-10-20,done,2025-10-05,2025-10-18
111,CAPA-2025-0111,아이크림 A,표시오류,하,설비,생산2팀,D라인,LOT-20251005-390,자체검사,한소율,2025-10-20,done,2025-10-05,2025-10-13
112,CAPA-2025-0112,미스트 A,고객불만,중,협력사,물류팀,C라인,LOT-20251005-384,고객사,배주안,2025-10-27,done,2025-10-05,2025-10-24
113,CAPA-2025-0113,토너 B,고객불만,중,작업자실수,생산1팀,A라인,LOT-20251006-102,고객사,박서준,2025-10-22,done,2025-10-06,2025-10-23
114,CAPA-2025-0114,아이크림 A,기타,중,설비,품질보증팀,C라인,LOT-20251007-247,고객사,강민준,2025-10-29,done,2025-10-07,2025-11-11
115,CAPA-2025-0115,립밤 B,공정이탈,하,표준서미비,품질보증팀,D라인,LOT-20251007-388,정부기관,정하늘,2025-10-29,done,2025-10-07,2025-10-23
116,CAPA-2025-0116,아이크림 A,기타,하,설비,생산1팀,D라인,LOT-20251007-099,내부감사,배주안,2025-11-04,done,2025-10-07,2025-10-29
117,CAPA-2025-0117,앰플 B,원료불량,하,협력사,생산2팀,B라인,LOT-20251008-387,정부기관,한소율,2025-10-25,done,2025-10-08,2025-10-23
118,CAPA-2025-0118,쿠션 A,포장불량,중,설비,생산1팀,C라인,LOT-20251008-932,자체검사,김지현,2025-10-27,done,2025-10-08,2025-10-19
119,CAPA-2025-0119,샴푸 B,원료불량,하,작업자실수,품질보증팀,C라인,LOT-20251009-605,정부기관,최유리,2025-10-21,done,2025-10-09,2025-10-14
120,CAPA-2025-0120,선크림 B,표시오류,중,표준서미비,생산2팀,A라인,LOT-20251010-986,정부기관,윤서아,2025-10-24,done,2025-10-10,2025-10-23
121,CAPA-2025-0121,아이섀도 A,기타,하,기타,생산2팀,A라인,LOT-20251011-829,고객사,김지현,2025-11-10,done,2025-10-11,2025-11-20
122,CAPA-2025-0122,토너 A,포장불량,중,협력사,생산1팀,A라인,LOT-20251013-275,내부감사,문서현,2025-11-04,done,2025-10-13,2025-11-02
123,CAPA-2025-0123,선크림 A,포장불량,중,표준서미비,물류팀,C라인,LOT-20251013-745,자체검사,오도윤,2025-10-30,done,2025-10-13,2025-10-26
124,CAPA-2025-0124,쿠션 A,표시오류,중,원자재,구매팀,C라인,LOT-20251013-131,고객사,한소율,2025-11-12,done,2025-10-13,2025-11-07
125,CAPA-2025-0125,바디로션 B,기타,중,기타,구매팀,C라인,LOT-20251013-258,고객사,최유리,2025-10-23,done,2025-10-13,2025-10-15
126,CAPA-2025-0126,쿠션 B,기타,중,기타,물류팀,A라인,LOT-20251014-493,고객사,박서준,2025-11-07,done,2025-10-14,2025-10-30
127,CAPA-2025-0127,미스트 A,고객불만,중,작업자실수,생산2팀,D라인,LOT-20251014-009,자체검사,강민준,2025-11-08,done,2025-10-14,2025-10-30
128,CAPA-2025-0128,아이크림 B,원료불량,중,설비,생산2팀,B라인,LOT-20251015-360,자체검사,김지현,2025-11-04,done,2025-10-15,2025-11-19
129,CAPA-2025-0129,립스틱 B,포장불량,중,협력사,구매팀,A라인,LOT-20251015-897,내부감사,최유리,2025-10-28,done,2025-10-15,2025-10-30
130,CAPA-2025-0130,세럼 A,공정이탈,중,표준서미비,구매팀,D라인,LOT-20251017-564,자체검사,한소율,2025-11-14,done,2025-10-17,2025-11-14
131,CAPA-2025-0131,바디로션 B,고객불만,중,기타,생산2팀,A라인,LOT-20251017-252,내부감사,윤서아,2025-10-28,done,2025-10-17,2025-10-27
132,CAPA-2025-0132,선크림 B,원료불량,중,설비,생산1팀,C라인,LOT-20251019-461,자체검사,이수민,2025-11-08,done,2025-10-19,2025-11-01
133,CAPA-2025-0133,앰플 B,기타,중,작업자실수,생산2팀,C라인,LOT-20251022-993,자체검사,정하늘,2025-11-10,done,2025-10-22,2025-11-13
134,CAPA-2025-0134,미스트 A,고객불만,중,협력사,구매팀,C라인,LOT-20251023-973,자체검사,윤서아,2025-11-09,done,2025-10-23,2025-11-04
135,CAPA-2025-0135,파운데이션 A,기타,중,원자재,구매팀,A라인,LOT-20251023-450,고객사,문서현,2025-11-12,done,2025-10-23,2025-11-07
136,CAPA-2025-0136,수분크림 A,포장불량,하,표준서미비,품질보증팀,D라인,LOT-20251023-859,내부감사,신예은,2025-11-11,done,2025-10-23,2025-11-25
137,CAPA-2025-0137,선스틱 B,표시오류,중,작업자실수,물류팀,D라인,LOT-20251023-599,고객사,한소율,2025-11-03,done,2025-10-23,2025-10-28
138,CAPA-2025-0138,선크림 B,공정이탈,중,원자재,생산1팀,B라인,LOT-20251024-960,고객사,임지호,2025-11-22,done,2025-10-24,2025-11-13
139,CAPA-2025-0139,핸드크림 A,고객불만,하,설비,구매팀,B라인,LOT-20251026-595,고객사,조현우,2025-11-25,done,2025-10-26,2025-11-16
140,CAPA-2025-0140,아이섀도 B,표시오류,중,협력사,물류팀,C라인,LOT-20251027-729,정부기관,오도윤,2025-11-10,done,2025-10-27,2025-11-08
141,CAPA-2025-0141,쿠션 A,포장불량,중,표준서미비,구매팀,A라인,LOT-20251027-646,내부감사,임지호,2025-11-06,done,2025-10-27,2025-11-03
142,CAPA-2025-0142,립밤 B,고객불만,중,작업자실수,구매팀,B라인,LOT-20251028-605,고객사,이수민,2025-11-20,done,2025-10-28,2025-11-20
143,CAPA-2025-0143,립밤 B,원료불량,중,원자재,물류팀,C라인,LOT-20251028-606,정부기관,정하늘,2025-11-25,done,2025-10-28,2025-11-17
144,CAPA-2025-0144,선크림 B,원료불량,상,작업자실수,품질보증팀,A라인,LOT-20251029-528,고객사,한소율,2025-11-09,done,2025-10-29,2025-11-03
145,CAPA-2025-0145,수분크림 A,표시오류,중,협력사,구매팀,C라인,LOT-20251030-288,고객사,오도윤,2025-11-22,done,2025-10-30,2025-11-18
146,CAPA-2025-0146,립스틱 A,기타,하,표준서미비,생산2팀,D라인,LOT-20251030-196,내부감사,윤서아,2025-11-21,done,2025-10-30,2025-11-26
147,CAPA-2025-0147,파운데이션 B,공정이탈,하,작업자실수,생산2팀,C라인,LOT-20251031-277,자체검사,신예은,2025-11-26,done,2025-10-31,2025-11-19
148,CAPA-2025-0148,수분크림 B,기타,중,작업자실수,생산1팀,B라인,LOT-20251101-544,정부기관,신예은,2025-12-01,done,2025-11-01,2025-11-25
149,CAPA-2025-0149,선크림 A,포장불량,하,원자재,생산2팀,A라인,LOT-20251101-995,자체검사,김지현,2025-11-13,done,2025-11-01,2025-11-13
150,CAPA-2025-0150,핸드크림 B,고객불만,중,기타,품질보증팀,D라인,LOT-20251102-193,내부감사,배주안,2025-11-21,done,2025-11-02,2025-11-17
151,CAPA-2025-0151,토너 A,원료불량,하,작업자실수,품질보증팀,D라인,LOT-20251102-468,고객사,이수민,2025-12-02,done,2025-11-02,2025-12-03
152,CAPA-2025-0152,마스크팩 B,기타,중,원자재,구매팀,D라인,LOT-20251103-426,정부기관,오도윤,2025-11-19,done,2025-11-03,2025-12-01
153,CAPA-2025-0153,블러셔 B,고객불만,중,원자재,품질보증팀,C라인,LOT-20251103-345,자체검사,이수민,2025-11-17,done,2025-11-03,2025-11-17
154,CAPA-2025-0154,선크림 B,기타,중,원자재,물류팀,D라인,LOT-20251104-091,자체검사,신예은,2025-11-27,done,2025-11-04,2025-11-23
155,CAPA-2025-0155,립스틱 B,포장불량,하,협력사,생산1팀,D라인,LOT-20251104-663,자체검사,오도윤,2025-12-02,done,2025-11-04,2025-11-29
156,CAPA-2025-0156,블러셔 B,공정이탈,중,설비,품질보증팀,D라인,LOT-20251104-773,고객사,문서현,2025-11-21,done,2025-11-04,2025-11-20
157,CAPA-2025-0157,쿠션 B,원료불량,중,협력사,생산1팀,B라인,LOT-20251105-161,자체검사,조현우,2025-12-05,done,2025-11-05,2025-12-03
158,CAPA-2025-0158,블러셔 A,고객불만,하,작업자실수,물류팀,D라인,LOT-20251106-507,고객사,한소율,2025-11-28,done,2025-11-06,2025-11-26
159,CAPA-2025-0159,바디로션 B,포장불량,하,기타,물류팀,C라인,LOT-20251106-595,정부기관,박서준,2025-12-02,done,2025-11-06,2025-11-29
160,CAPA-2025-0160,미스트 B,기타,하,원자재,물류팀,C라인,LOT-20251108-258,정부기관,임지호,2025-12-01,done,2025-11-08,2025-11-25
161,CAPA-2025-0161,선크림 A,원료불량,중,작업자실수,구매팀,D라인,LOT-20251109-412,고객사,문서현,2025-11-27,done,2025-11-09,2025-11-23
162,CAPA-2025-0162,파운데이션 A,고객불만,중,원자재,물류팀,A라인,LOT-20251109-268,정부기관,박서준,2025-12-03,done,2025-11-09,2025-12-02
163,CAPA-2025-0163,쿠션 A,고객불만,상,협력사,물류팀,C라인,LOT-20251109-666,자체검사,배주안,2025-12-08,done,2025-11-09,2025-12-02
164,CAPA-2025-0164,쿠션 B,고객불만,중,설비,물류팀,C라인,LOT-20251110-256,자체검사,강민준,2025-11-23,done,2025-11-10,2025-11-17
165,CAPA-2025-0165,샴푸 B,포장불량,하,설비,구매팀,D라인,LOT-20251110-639,내부감사,김지현,2025-12-02,done,2025-11-10,2025-12-10
166,CAPA-2025-0166,립밤 A,표시오류,중,작업자실수,물류팀,A라인,LOT-20251112-708,정부기관,신예은,2025-12-12,done,2025-11-12,2025-12-06
167,CAPA-2025-0167,선스틱 A,원료불량,중,설비,품질보증팀,C라인,LOT-20251112-819,고객사,정하늘,2025-12-03,done,2025-11-12,2025-11-26
168,CAPA-2025-0168,세럼 A,표시오류,중,작업자실수,품질보증팀,B라인,LOT-20251113-305,고객사,윤서아,2025-12-05,done,2025-11-13,2025-11-30
